,Supplier,Receiver,Amount
0,ZWE,ASM,44273.0
1,BDI,ABW,106445.0
2,ZMB,BEN,1004660.0
3,MUS,BMU,64184.0
4,NOR,VGB,31305.0
5,CYP,CYM,68706.0
6,KEN,CUW,191163.0
7,PAN,GNQ,681440.0
8,KEN,FRO,53090.0
9,FIN,PYF,306279.0
10,COD,GIB,32649.0
11,FIN,GRL,56466.0
12,VUT,GUM,171774.0
13,ISR,IRQ,2699689.0
14,GMB,IMN,84519.0
15,BGD,LIE,39327.0
16,IRN,MAC,695168.0
17,AFG,NAM,526672.0
18,PRY,NCL,289950.0
19,AFG,PRK,2.0
20,KGZ,PRI,3252407.0
21,AUT,SXM,44175.0
22,IND,MAF,31791.0
23,MMR,TZA,10436970.0
24,HKG,TCA,45703.0
25,AUS,VIR,99465.0
