Country,ISO-3 Code,Secured and/or Expected Vaccine Supply in total doses (% of population)
Aruba,ABW,
Afghanistan,AFG,132.8026733
Angola,AGO,168.4611664
Anguilla,AIA,
Albania,ALB,119.6663437
Andorra,AND,219.1030884
United Arab Emirates,ARE,274.3872681
Argentina,ARG,332.8873291
Armenia,ARM,125.0532303
American Samoa,ASM,
Antigua and Barbuda,ATG,258.0726929
Australia,AUS,990.039856
Austria,AUT,632.3044434
Azerbaijan,AZE,149.0982208
Burundi,BDI,124.0798264
Belgium,BEL,632.3043823
Benin,BEN,92.47607422
Burkina Faso,BFA,124.6517868
Bangladesh,BGD,269.113678
Bulgaria,BGR,632.3044434
Bahrain,BHR,218.1500854
Bahamas,BHS,169.8680267
Bosnia and Herzegovina,BIH,124.2264709
Saint Barthélemy,BLM,
Belarus,BLR,173.7680206
Belize,BLZ,266.9569092
Bermuda,BMU,
Bolivia (Plurinational State of),BOL,253.6885223
Brazil,BRA,283.4560852
Barbados,BRB,179.7794952
Brunei Darussalam,BRN,313.8456421
Bhutan,BTN,325.8905029
Botswana,BWA,240.8696594
Central African Republic,CAF,123.04879
Canada,CAN,832.3860474
Switzerland,CHE,837.0150757
Chile,CHL,451.8372192
China,CHN,261.4398804
Côte d'Ivoire,CIV,121.5981216
Cameroon,CMR,120.3250122
Democratic Republic of the Congo,COD,151.4341888
Congo,COG,145.5132904
Cook Islands,COK,
Colombia,COL,273.7238464
Comoros,COM,201.2993317
Cabo Verde,CPV,210.6901398
Costa Rica,CRI,295.7643127
Cuba,CUB,398.9095154
Curaçao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,648.4283447
Czechia,CZE,634.0401611
Germany,DEU,668.0610352
Djibouti,DJI,219.6930847
Dominica,DMA,397.3701782
Denmark,DNK,632.3044434
Dominican Republic,DOM,286.8542175
Algeria,DZA,115.3007431
Ecuador,ECU,302.1527405
Egypt,EGY,223.8399353
Eritrea,ERI,120
Western Sahara,ESH,
Spain,ESP,632.3044434
Estonia,EST,632.3044434
Ethiopia,ETH,114.3370743
Finland,FIN,632.3044434
Fiji,FJI,268.2824097
Falkland Islands (Malvinas),FLK,
France,FRA,632.3044434
Faroe Islands,FRO,
Micronesia (Federated States of),FSM,141.9268036
Gabon,GAB,107.7178268
United Kingdom of Great Britain and Northern Ireland,GBR,669.3427124
Georgia,GEO,142.2465515
Guernsey,GGY,
Ghana,GHA,145.0153351
Gibraltar,GIB,
Guinea,GIN,149.5261841
Guadeloupe,GLP,
Gambia,GMB,135.5720367
Guinea-Bissau,GNB,162.2229767
Equatorial Guinea,GNQ,59.31480408
Greece,GRC,632.3044434
Grenada,GRD,202.3642883
Greenland,GRL,
Guatemala,GTM,128.199234
French Guiana,GUF,
Guam,GUM,
Guyana,GUY,252.1019287
"China, Hong Kong Special Administrative Region",HKG,280.5449524
Honduras,HND,215.4645996
Croatia,HRV,632.3044434
Haiti,HTI,100
Hungary,HUN,704.9625244
Indonesia,IDN,216.602951
Isle of Man,IMN,
India,IND,200.777359
Ireland,IRL,632.3044434
Iran (Islamic Republic of),IRN,223.539917
Iraq,IRQ,93.93275452
Iceland,ISL,363.4581909
Israel,ISR,554.0527954
Italy,ITA,748.2609253
Jamaica,JAM,186.1049042
Jersey,JEY,
Jordan,JOR,128.3252716
Japan,JPN,667.9846802
Kazakhstan,KAZ,140
Kenya,KEN,117.4657822
Kyrgyzstan,KGZ,158.0767822
Cambodia,KHM,444.4776306
Kiribati,KIR,267.0610046
Saint Kitts and Nevis,KNA,131.9388885
Republic of Korea,KOR,441.2411499
Kuwait,KWT,208.2133484
Lao People's Democratic Republic,LAO,253.5193176
Lebanon,LBN,130.4987946
Liberia,LBR,127.9813766
Libya,LBY,156.4151764
Saint Lucia,LCA,172.949173
Liechtenstein,LIE,
Sri Lanka,LKA,259.0326538
Lesotho,LSO,172.898819
Lithuania,LTU,632.3043823
Luxembourg,LUX,632.3044434
Latvia,LVA,643.0835571
"China, Macao Special Administrative Region",MAC,
Saint Martin (French Part),MAF,
Morocco,MAR,261.7522888
Monaco,MCO,181.3132629
Republic of Moldova,MDA,138.2886505
Madagascar,MDG,101.0553284
Maldives,MDV,401.5691223
Mexico,MEX,246.8016815
Marshall Islands,MHL,138.6192017
North Macedonia,MKD,208.2416687
Mali,MLI,127.1922684
Malta,MLT,632.3044434
Myanmar,MMR,295.0516052
Montenegro,MNE,168.6487274
Mongolia,MNG,253.6110229
Northern Mariana Islands,MNP,
Mozambique,MOZ,215.4117889
Mauritania,MRT,133.8010254
Montserrat,MSR,
Martinique,MTQ,
Mauritius,MUS,434.1073608
Malawi,MWI,100.7736206
Malaysia,MYS,287.7174683
Mayotte,MYT,
Namibia,NAM,79.48305511
New Caledonia,NCL,
Niger,NER,132.8941345
Nigeria,NGA,120.9565964
Nicaragua,NIC,210.1642914
Niue,NIU,
Netherlands,NLD,632.3044434
Norway,NOR,298.922699
Nepal,NPL,241.9122162
Nauru,NRU,330.3596191
New Zealand,NZL,722.5510254
Oman,OMN,149.3090363
Pakistan,PAK,143.3131561
Panama,PAN,297.8023071
Peru,PER,471.6490173
Philippines,PHL,289.9390869
Palau,PLW,271.7948608
Papua New Guinea,PNG,102.395874
Poland,POL,632.3044434
Puerto Rico,PRI,
Democratic People's Republic of Korea,PRK,99.99999237
Portugal,PRT,632.3044434
Paraguay,PRY,163.7085571
State of Palestine,PSE,259.3028564
French Polynesia,PYF,
Qatar,QAT,276.5424805
Réunion,REU,
Romania,ROU,632.3044434
Russian Federation,RUS,200
Rwanda,RWA,237.894043
Saudi Arabia,SAU,210.3387756
Sudan,SDN,132.8777924
Senegal,SEN,127.5970612
Singapore,SGP,266.8469543
Saint Helena,SHN,
Svalbard and Jan Mayen,SJM,
Solomon Islands,SLB,149.829895
Sierra Leone,SLE,114.4939194
El Salvador,SLV,253.2116241
San Marino,SMR,224.2634583
Somalia,SOM,131.6140442
Saint Pierre and Miquelon,SPM,
Serbia,SRB,107.9402847
South Sudan,SSD,121.3970184
Sao Tome and Principe,STP,191.6692047
Suriname,SUR,179.4869232
Slovakia,SVK,669.2042847
Slovenia,SVN,632.3044434
Sweden,SWE,632.3044434
Eswatini,SWZ,124.3546371
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,290.7521973
Syrian Arab Republic,SYR,129.8491364
Turks and Caicos Islands,TCA,
Chad,TCD,121.1823807
Togo,TGO,157.4104919
Thailand,THA,337.7737427
Tajikistan,TJK,174.2171478
Tokelau,TKL,
Turkmenistan,TKM,263.1607666
Timor-Leste,TLS,145.1245117
Tonga,TON,211.1606445
Trinidad and Tobago,TTO,270.934906
Tunisia,TUN,197.7740173
Turkey,TUR,282.2110596
Tuvalu,TUV,219.0356445
Taiwan (Province of China),TWN,352.4203491
United Republic of Tanzania,TZA,84.0651474
Uganda,UGA,138.289566
Ukraine,UKR,305.1687317
Uruguay,URY,275.4794312
United States of America,USA,397.4587097
Uzbekistan,UZB,206.218399
Holy See,VAT,
Saint Vincent and the Grenadines,VCT,259.524231
Venezuela (Bolivarian Republic of),VEN,164.6773376
British Virgin Islands,VGB,
United States Virgin Islands,VIR,
Viet Nam,VNM,319.197876
Vanuatu,VUT,184.9404602
State of Palestine,WBG,
Wallis and Futuna Islands,WLF,
Samoa,WSM,276.4899292
Kosovo (as per UNSCR 1244),XKX,187.8653412
Yemen,YEM,120.2623825
South Africa,ZAF,117.0346069
Zambia,ZMB,137.0245819
Zimbabwe,ZWE,292.0691223
